id,sport_fk,year,manufacturer_fk,mainset,subset,playername,cardno,parallel,rookie,auto,serialnumbered,memorabilia,photourl,pricing_fk,listedproduct_fk
2,1,2021,4,Donruss,Optic,Ryan Jeffers,RRS-RJ,Blue Mojo,Y,Y,03/99,N,NULL,NULL,NULL
3,1,2021,4,Chronicles,Elite,Logan Gilbert,34,N,Y,N,N,N,NULL,NULL,NULL
4,1,2020,1,Base,N,Bo Bichette,52,N,Y,N,N,N,NULL,NULL,NULL
5,1,2021,4,Chronicles,Prizm Phoenix,Mike Trout,19,Pink Pulsar,N,N,N,N,NULL,NULL,NULL
6,1,2021,4,Chronicles,Prizm Titan,Tanner Houck,22,Building Block,Y,N,N,N,NULL,NULL,NULL
7,1,2021,2,Heritage,Chrome,David Peterson - Andres Gimenez,5,N,Y,N,255/999,N,NULL,NULL,NULL
8,1,2021,1,Base,N,Tanner Houck,21,Y,Y,N,389/399,N,NULL,NULL,NULL
9,1,2012,2,Heritage,N,Miguel Cabrera - Mike Trout - Adrian Beltre,8,N,N,N,N,N,NULL,NULL,NULL
10,1,2012,2,Heritage,N,Miguel Cabrera - Mike Trout - Adrian Beltre,8,N,N,N,N,N,NULL,NULL,NULL
11,1,2012,2,Heritage,N,Miguel Cabrera - Mike Trout - Adrian Beltre,8,N,N,N,N,N,NULL,NULL,NULL
12,1,2012,2,Heritage,N,Miguel Cabrera - Mike Trout - Adrian Beltre,8,N,N,N,N,N,NULL,NULL,NULL
13,1,2014,2,Base,N,Mike Trout,1,N,N,N,N,N,NULL,NULL,NULL
14,1,2014,2,Base,N,Mike Trout,1,N,N,N,N,N,NULL,NULL,NULL
15,1,2014,2,Base,N,Mike Trout,1,N,N,N,N,N,NULL,NULL,NULL
16,1,2013,2,Base,N,Miguel Cabrera - Mike Trout - Adrian Beltre,294,N,N,N,N,N,NULL,NULL,NULL
17,1,2012,1,Platinum,Prospects,Jean Segura,BPP65,N,N,N,N,N,NULL,NULL,NULL
18,1,2012,1,Platinum,Prospects,Christian Yelich,BPP49,Refractor,N,N,N,N,NULL,NULL,NULL
19,1,2012,1,Platinum,Prospects,Gary Sanchez,BPP38,Refractor,N,N,N,N,NULL,NULL,NULL
20,1,2012,1,Platinum,Prospects,Nick Castellanos,BPP15,N,N,N,N,N,NULL,NULL,NULL
21,1,2012,1,Platinum,Prospects,Nick Castellanos,BPP15,N,N,N,N,N,NULL,NULL,NULL
22,1,2012,1,Platinum,Prospects,Nick Castellanos,BPP15,N,N,N,N,N,NULL,NULL,NULL
23,1,2012,1,Platinum,Prospects,Nick Castellanos,BPP15,N,N,N,N,N,NULL,NULL,NULL
24,1,2013,1,Platinum,Prospects,Francisco Lindor,BPP21,N,N,N,N,N,NULL,NULL,NULL
25,1,2013,1,Platinum,Prospects,Francisco Lindor,BPP21,N,N,N,N,N,NULL,NULL,NULL
26,1,2013,1,Platinum,Prospects,Marcell Ozuna,BPP90,N,N,N,N,N,NULL,NULL,NULL
27,1,2013,1,Platinum,Prospects,Anthony Rendon,BPP25,N,N,N,N,N,NULL,NULL,NULL
28,1,2013,1,Platinum,Prospects,Nolan Arenado,BPP40,N,N,N,N,N,NULL,NULL,NULL
29,1,2013,1,Platinum,Prospects,Corey Seager,BPP41,N,N,N,N,N,NULL,NULL,NULL
30,1,2014,1,Platinum,Base,Taijuan Walker,1,N,Y,N,N,N,NULL,NULL,NULL
31,1,2021,1,Chrome,Base,Luis Patino,62,Fuchsia Refractor,Y,N,013/299,N,NULL,NULL,NULL
32,1,2021,1,Chrome,Base,Daulton Varsho,95,Fuchsia Refractor,Y,N,144/299,N,NULL,NULL,NULL
33,1,2021,1,Chrome,Prospects,Jeter Downs,BCP-169,Pink Refractor,N,N,130/199,N,NULL,NULL,NULL
34,1,2021,1,Base,Chrome,Jasson Dominguez,FUT-JD,N,N,N,N,N,NULL,NULL,NULL
35,1,2021,1,Chrome,Prospects,Angel Rondon,CPA-ARO,N,N,Y,N,N,NULL,NULL,NULL
36,1,2021,1,Base,Chrome,Logan Gilbert,BCP-58,Aqua Shimmer,N,N,071/125,N,NULL,NULL,NULL
37,1,2021,1,Chrome,Prospects,Emmanuel Rodriguez,BCP-207,Refractor,N,N,369/499,N,NULL,NULL,NULL
38,1,2021,1,Prospects,Chrome,Patrick Bailey,BCP-108,Atomic Refractor,N,N,N,N,NULL,NULL,NULL
39,1,2021,1,Prospects,Chrome,Patrick Bailey,BCP-108,Mojo Refractor,N,N,N,N,NULL,NULL,NULL
